image,primary,secondary,third
img_1.jpg,#ce5757,#7f171e,#631016
img_2.jpg,#2482b0,#2d95c8,#d3d2d7
img_3.jpg,#e5dd60,#c4bc3e,#221b05
img_4.jpg,#637253,#3d4931,#28351e
img_5.jpg,#a52733,#dbd8cc,#916e5a
img_6.jpg,#9ea1a6,#28313d,#141416
img_7.jpg,#9e6619,#cf9e41,#0c1719
img_8.jpg,#374023,#aec199,#676d4b
img_9.jpg,#4f020a,#dc6262,#260206
img_10.jpg,#8f9eb3,#778497,#b7cad9
img_11.jpg,#bdbdbd,#a5a5a5,#959595
img_12.jpg,#131313,#1b1b13,#11110f
img_13.jpg,#734f01,#f5d657,#613d01
img_14.jpg,#2a4651,#3a7c97,#273951
img_15.jpg,#b05334,#1a0605,#370c07
img_16.jpg,#526549,#0d0d0d,#1c2f11
img_17.jpg,#711516,#17140d,#f29e9e
img_18.jpg,#1d285a,#aeb7c0,#1b2347
img_19.jpg,#2b2219,#40281b,#a29c90
img_20.jpg,#141415,#404240,#f4f4f4
img_21.jpg,#a43c3d,#6e201e,#dbd9d2
img_22.jpg,#487094,#dfcd81,#0e243b
img_23.jpg,#79ba80,#1b2c39,#da7b61
img_24.jpg,#f55c51,#2f3b71,#6f060e
img_25.jpg,#799076,#abbba5,#292d1f
img_26.jpg,#a37963,#cd9372,#6f5848
img_27.jpg,#233946,#293f4a,#776e65
img_28.jpg,#d0b86d,#c3ab5a,#483817
img_29.jpg,#8d2814,#420d05,#c57957
img_30.jpg,#b28fc7,#4d203c,#dcd4e3
